year,Observed,Current forecast + historical growth,2% growth,2% growth + Gini reduction 1%,2% growth + Gini reduction 2%,4% growth
2010,60.21,,,,,
2011,58.92,,,,,
2012,57.64,,,,,
2013,55.93,,,,,
2014,54.76,,,,,
2015,53.56,,,,,
2016,52.52,,,,,
2017,51.62,,,,,
2018,50.49,,,,,
2019,49.74,,,,,
2020,50.55,,,,,
2021,48.79,,,,,
2022,48.34,,,,,
2023,47.14,,,,,
2024,46.28,,,,,
2025,45.55,45.55,45.55,45.55,45.55,45.55
2026,,44.69,45.2,45.03,44.88,44.61
2027,,43.81,44.86,44.55,44.25,43.74
2028,,42.9,44.55,44.09,43.67,42.82
2029,,41.95,44.23,43.63,43.11,41.92
2030,,40.99,43.91,43.16,42.55,40.99
2031,,40.24,43.57,42.69,41.99,40.07
2032,,39.5,43.22,42.21,41.46,39.12
2033,,38.78,42.89,41.75,40.94,38.16
2034,,38.06,42.56,41.31,40.43,37.2
2035,,37.37,42.19,40.82,39.88,36.16
2036,,36.68,41.85,40.35,39.33,35.2
2037,,36.01,41.49,39.87,38.85,34.19
2038,,35.34,41.13,39.37,38.34,33.17
2039,,34.7,40.74,38.84,37.8,32.2
2040,,34.06,40.37,38.33,37.24,31.19
2041,,33.43,39.98,37.79,36.62,30.17
2042,,32.82,39.6,37.26,35.99,29.21
2043,,32.22,39.19,36.73,35.29,28.28
2044,,31.62,38.81,36.18,34.6,27.36
2045,,31.04,38.39,35.63,33.8,26.46
2046,,30.47,38,35.07,32.97,25.54
2047,,29.91,37.58,34.44,32.19,24.62
2048,,29.36,37.19,33.88,31.32,23.83
2049,,28.82,36.77,33.27,30.45,22.99
2050,,28.3,36.35,32.64,29.63,22.18
